                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.2669,                0.78502,                 1.1274,                0.68229,                0.63659,                0.64992,                0.41343,                 1.3012,                0.82288,                 1.1197,              0.0094357,              0.0094357,              0.0094357
                    116,                 1.2675,                0.77657,                 1.1232,                0.68045,                0.63913,                0.65066,                0.41525,                 1.3006,                0.82166,                 1.1201,              0.0094307,              0.0094307,              0.0094307
                    117,                 1.2617,                0.77793,                 1.1203,                0.67967,                0.63666,                0.65003,                0.41456,                 1.2996,                0.82029,                 1.1202,              0.0094258,              0.0094258,              0.0094258
                    118,                 1.2561,                0.77591,                 1.1215,                0.68306,                0.63874,                0.65032,                0.41598,                  1.298,                0.81943,                 1.1191,              0.0094208,              0.0094208,              0.0094208
                    119,                 1.2563,                0.77004,                  1.119,                0.67767,                0.64133,                0.65119,                0.41582,                 1.2973,                0.81797,                 1.1191,              0.0094159,              0.0094159,              0.0094159
                    120,                 1.2468,                0.75724,                 1.1176,                  0.682,                0.63643,                 0.6512,                0.41536,                 1.2959,                0.81688,                 1.1184,              0.0094109,              0.0094109,              0.0094109
                    121,                 1.2645,                0.77272,                 1.1142,                0.68054,                0.63488,                0.65132,                0.41499,                 1.2948,                  0.817,                 1.1186,               0.009406,               0.009406,               0.009406
                    122,                 1.2578,                0.77601,                 1.1185,                0.68576,                0.61949,                   0.65,                0.41544,                 1.2936,                0.81549,                 1.1182,               0.009401,               0.009401,               0.009401
                    123,                 1.2607,                0.76359,                 1.1159,                0.68908,                 0.6159,                 0.6408,                0.41428,                 1.2928,                0.81427,                 1.1181,              0.0093961,              0.0093961,              0.0093961
                    124,                 1.2516,                0.76615,                 1.1171,                0.69182,                 0.6165,                0.64218,                0.41522,                 1.2919,                0.81411,                 1.1186,              0.0093912,              0.0093912,              0.0093912
                    125,                 1.2544,                0.77144,                 1.1116,                0.68907,                0.61789,                0.64464,                0.41625,                  1.291,                0.81343,                 1.1186,              0.0093862,              0.0093862,              0.0093862
                    126,                 1.2551,                0.76446,                 1.1115,                 0.6886,                0.61881,                0.64468,                0.41765,                 1.2908,                0.81289,                  1.119,              0.0093813,              0.0093813,              0.0093813
                    127,                 1.2462,                0.76043,                  1.115,                 0.6969,                0.62519,                0.65695,                 0.4199,                 1.2896,                0.81093,                 1.1186,              0.0093763,              0.0093763,              0.0093763
                    128,                 1.2404,                0.75104,                 1.1042,                0.67426,                0.64265,                0.65469,                0.41911,                  1.289,                0.81017,                 1.1183,              0.0093714,              0.0093714,              0.0093714
                    129,                 1.2508,                0.76684,                 1.1142,                0.66673,                0.64086,                0.65342,                0.41998,                 1.2876,                0.80839,                 1.1176,              0.0093664,              0.0093664,              0.0093664
                    130,                 1.2287,                0.74317,                 1.1026,                0.65801,                0.64145,                0.64199,                0.41958,                 1.2857,                0.80703,                 1.1169,              0.0093615,              0.0093615,              0.0093615
                    131,                  1.244,                0.75758,                 1.1127,                0.68165,                0.63717,                0.64326,                0.41843,                 1.2842,                0.80687,                  1.116,              0.0093565,              0.0093565,              0.0093565
                    132,                 1.2459,                 0.7592,                 1.1075,                0.66011,                0.64337,                0.64412,                0.41956,                  1.283,                0.80585,                  1.115,              0.0093516,              0.0093516,              0.0093516
                    133,                 1.2399,                0.75517,                 1.1066,                0.67102,                0.64176,                0.64345,                0.42043,                 1.2817,                0.80568,                 1.1145,              0.0093466,              0.0093466,              0.0093466
                    134,                 1.2392,                0.75091,                 1.1053,                0.65758,                0.66061,                0.65681,                0.42229,                 1.2808,                0.80473,                 1.1151,              0.0093416,              0.0093416,              0.0093416
                    135,                 1.2429,                0.75467,                 1.1047,                0.65741,                0.65947,                0.65737,                0.42444,                 1.2793,                 0.8042,                 1.1148,              0.0093367,              0.0093367,              0.0093367
                    136,                 1.2507,                0.76108,                 1.1104,                0.68259,                0.64849,                0.65804,                  0.424,                 1.2776,                0.80338,                 1.1141,              0.0093317,              0.0093317,              0.0093317
                    137,                 1.2343,                 0.7514,                 1.1021,                0.67386,                0.63081,                0.64656,                 0.4237,                 1.2767,                0.80303,                 1.1141,              0.0093268,              0.0093268,              0.0093268
                    138,                  1.217,                 0.7398,                 1.1062,                0.67755,                0.62859,                0.64515,                0.42303,                 1.2752,                0.80278,                 1.1133,              0.0093219,              0.0093219,              0.0093219
                    139,                 1.2406,                0.75679,                 1.1081,                0.68538,                0.62726,                 0.6449,                0.42337,                 1.2738,                0.80342,                 1.1128,              0.0093169,              0.0093169,              0.0093169
                    140,                 1.2282,                0.74652,                 1.1051,                0.68628,                0.62827,                0.64502,                0.42456,                 1.2726,                0.80246,                 1.1128,              0.0093119,              0.0093119,              0.0093119
                    141,                 1.2438,                0.75232,                 1.1054,                0.68769,                0.62649,                0.64479,                0.42483,                 1.2709,                0.80089,                 1.1122,               0.009307,               0.009307,               0.009307
                    142,                 1.2357,                0.74829,                 1.1044,                0.68604,                0.62742,                0.64424,                0.42541,                 1.2696,                0.80031,                  1.112,               0.009302,               0.009302,               0.009302
                    143,                 1.2386,                0.75215,                 1.1041,                0.68921,                0.63484,                0.64427,                0.42592,                 1.2685,                0.79926,                 1.1113,              0.0092971,              0.0092971,              0.0092971
                    144,                 1.2363,                0.75022,                 1.1017,                 0.6848,                0.63722,                0.64497,                0.42409,                 1.2673,                0.79809,                 1.1114,              0.0092922,              0.0092922,              0.0092922
                    145,                 1.2317,                 0.7467,                 1.1016,                0.68259,                0.63734,                0.64453,                0.42537,                 1.2663,                0.79694,                 1.1114,              0.0092872,              0.0092872,              0.0092872
                    146,                 1.2075,                0.72924,                 1.0971,                0.68757,                0.63586,                0.64428,                0.42575,                 1.2657,                0.79771,                 1.1114,              0.0092823,              0.0092823,              0.0092823
                    147,                 1.2212,                0.73992,                 1.1014,                0.69672,                0.63421,                0.64442,                0.42536,                 1.2643,                0.79521,                 1.1105,              0.0092773,              0.0092773,              0.0092773
